Names,Surnames
Maria,Papadopoulos
Georgios,Papadopoulou
Eleni,Papageorgiou
Ioannis,Oikonomou
Katerina,Papadimitriou
Nikolaos,Georgiou
Sophia,Papaioannou
Konstantinos,Pappas
Zoe,Papadakis
Dimitris,Nikolopoulos
Fotini,Ioannou
Petros,Demetriou
Dimitra,Vasilopoulos
Stavros,Antonopoulos
Stella,Christopoulos
Michail,Athanasiou
Konstantina,Vasileiou
Xristos,Nikolaou
Theodora,Karagiannis
Kostas,Vlachos
Phoebe,Antoniou
Vasilis,Makris
Kalliope,Papanikolaou
Pavlos,Dimitriou
Artemis,Ioannidis
Stelios,Georgiadis
Calypso,Triantafyllou
Stefanos,Konstantinidis
Ophelia,Alexiou
Andreas,Christodoulou
Anastasia,Theodorou
Christos,Giannopoulos
Angeliki,Nikolaidis
Athanasios,Konstantinou
Panagiota,Michailidis
Panagiotis,Panagiotopoulos
Vasiliki,Papakonstantinou
Vasileios,Papathanasiou
Georgia,Dimopoulos
Anastasios,Karagianni
Aikaterini,Anastasiou
Spyridon,Dimitriadis
Despina,Pappa
Alexios,Vlachou
Evangelia,Vasileiadis
Yiorgos,Giannakopoulos
Irene,Angelopoulos
Ilias,Dimou
Anna,Ioannidou
Christodoulos,Mylonas
Paraskevi,Stergiou
Alexandros,Apostolou
Alexandra,Petropoulos
Leonidas,Lamprou
Venus,Papadaki
Sotirios,Christou
Althea,Panagiotou
Emmanouil,Anagnostou
Olympia,Makri
Antonis,Konstantinidou
Olga,Samaras
Dionysios,Athanasopoulos
Antigone,Alexopoulos
Gregoris,Stavropoulos
Christina,Anagnostopoulos
Kyriakos,Markou
Elisavet,Georgiadou
Evangelos,Raptis
Dorothea,Spanos
Odysseus,Sidiropoulos
Eleutheria,Antoniadis
Theodoros,Panagopoulos
Martha,Efthymiou
Stratos,Spyropoulos
Margarita,Theodoropoulos
Charalampos,Pavlidis
Niki,Apostolopoulos
Lazaros,Petrou
Helen,Michalopoulos
Manolis,Arvanitis
Eftychia,Lazaridis
Philippos,Kontos
Evgenia,Georgopoulos
Thanos,Athanasiadis
Ioanna,Panagiotidis
Thoma,Theodoridis
Theodosia,Chatzis
Zacharias,Anastasiadis
Chryssa,Papavasileiou
Loukas,Papazoglou
Areti,Iliopoulos
Aristotelis,Kostopoulos
Agapi,Politis
Heraklis,Galanis
Lydia,Stavrou
Kiriakos,Apostolidis
Melina,Paraskevopoulos
Markos,Giannopoulou
Aspasia,Diamantis
Iasonas,Pantazis
Ismini,Anastasakis
Miltiadis,Andreou
Xanthippi,Angelopoulou
Fotis,Bouras
Myrto,Charalampidis
Phaedon,Chatzi
Kleopatra,Christoforou
Angelos,Constantinou
Lila,Diamantopoulos
Apollon,Dimas
Chara,Dimitropoulos
Aris,Dimopoulou
Daphne,Efstathiou
Damianos,Evangelou
Ariadne,Fotiadis
Diogenes,Fotopoulos
Evdokia,Gavriilidis
Ektoras,Georgakopoulos
Ekaterina,Giannakopoulou
Filippos,Gounaris
Polina,Grigoriadis
Giannakis,Iliadis
Sappho,Kanellopoulos
Haris,Katopodis
Rania,Katsaros
Ioakeim,Katsoulis
Dionysia,Kokkinos
Kosmas,Kollias
Efrosini,Kostas
Leon,Kyriakidis
Eirini,Kyriakou
Menelaos,Lampropoulos
Kyriaki,Loukas
Nestoras,Manolopoulos
Lefkothea,Manos
Orpheus,Margaritis
Nefeli,Mavridis
Panos,Mavromatis
Roxani,Metaxas
Socratis,Michailidou
Sotiria,Moraitis
Stephanos,Moustakas
Styliani,Mylona
Theofanis,Nikolaidou
Thalia,Nikolopoulou
Vangelis,Panagiotopoulou
Vasileia,Papas
Xanthippos,Petridis
Kassandra,Polychronopoulos
Yanni,Polyzou
Koralia,Rallis
Zenon,Rigas
Marilena,Rizos
Minas,Roussos
Nektaria,Samara
Kleanthis,Sarris
Thekla,Savvidis
Aristarchos,Sideris
Voula,Sotiriou
Simeon,Sotiropoulos
Zinovia,Spyridakis
Gerasimos,Stamatopoulos
Aglaia,Stathopoulos
Ippokratis,Stefanidis
Elpida,Stefanou
Periklis,Stephanopoulos
Galatea,Tsakalos
Solon,Tsakiris
Glykeria,Tsatsos
Hristos,Vasilakis
Io,Vasileiadou
Isidoros,Vlachopoulos
Marika,Voulgaris
Makarios,Vrettos
Athina,Zachariadis
Nestor,Zervas
Polyxeni,Alexakis
Sokratis,Angelaki
Theophania,Angeli
Themistoklis,Angelidis
Thetis,Angelis
Vasos,Angelou
Anastassia,Boura
Zisis,Dedes
Andriana,Dima
Zeno,Dimakis
Despo,Dimos
Ippolitos,Douka
Electra,Drosos
Mihalis,Floros
Isidora,Florou
Phoebus,Fotiou
Marina,Galani
Orestis,Giannis
Natasha,Giotis
Platon,Kanellos
Sevasti,Kapsali
Evgenios,Karali
Juno,Karra
Dimitrios,Katsouli
Acacia,Kefalas
Achilles,Kokkalis
Adara,Kokkinou
Adonis,Kontou
Alexandria,Kosmas
Aero,Kosmidou
Alyssa,Kotoulas
Ajax,Kotsis
Amaryllis,Koukos
Ambrose,Koulouris
Amethyst,Lagos
Apollo,Lazarou
Anastacia,Lazos
Aristotle,Lekka
Andromeda,Liakos
Arsenio,Liapi
Athena,Liapis
Astro,Liolios
Azalea,Louka
Atlantis,Margariti
Calista,Michou
Atlas,Milios
Calliope,Moschou
Atticus,Nakou
Catalina,Nanos
Barnabas,Nika
Catarina,Nikas
Castor,Nikou
Charis,Panou
Cosmo,Pantelis
