Names,Surnames
Fatima,Devi
Mohammad,Singh
Inaya,Kumar
Samir,Das
Farah,Kaur
Ahmed,Ram
Prisha,Yadav
Rohan,Kumari
Diya,Lal
Vihaan,Bai
Priya,Sharma
Rishi,Patel
Indira,Gupta
Jai,Jain
Anaya,Mandal
Syed,Ray
Myra,Mondal
Dev,Sah
Mariam,Prasad
Sameer,Choudhury
Nyra,Patil
Raj,Ghosh
Saanvi,Pal
Sanjay,Sahu
Aadhya,Biswas
Amit,Sarkar
Ayra,Paramar
Uday,Mahto
Aarya,Nayak
Ayaan,Ma
Nyla,Rathod
Arjun,Jadhav
Aarna,Reddy
Aarav,Mahato
Mirha,Rani
Avi,Barman
Akira,Behera
Kiaan,Mishra
Meera,Chand
Aryan,Roy
Isha,Saha
Avyaan,Paswan
Ziva,Thakur
Ishaan,Thakor
Adira,Chauhan
Yahya,Pawar
Aashvi,Majhi
Kabir,Naik
Asha,Pradhan
Atharv,Shinde
Shanaya,Sardar
Ivaan,Nath
Aavya,Raut
Veer,Bauri
Navya,Chandra
Dhruv,Patra
Samaira,Jha
Rayyan,Murmu
Anjali,Solanki
Krish,Cauhan
Layla,Prakash
Agastya,Sinh
Aditi,Pandey
Reyansh,Patal
Jiya,Munda
Ved,Dutta
Ananya,Chaudhari
Viraj,Raj
Saniya,Pandit
Krishiv,Kamble
Akshara,Manjhi
Vivaan,Rana
Jaya,Chaudhary
Ravi,Jena
Laya,Chakraborty
Shivansh,Gayakwad
Shreya,Nisha
Abdul,Vasav
Ahana,Debnath
Rudra,Rai
Ria,Varma
Advik,Karmakar
Vaani,Jana
Yuvaan,Sih
Haniya,Oraon
Zohan,Kadam
Kavya,Giri
Ajay,Barik
Sanaya,Tudu
Shaurya,Bhagat
Sanvi,Sinha
Samarth,Kanwar
Dhriti,De
Aditya,Sekha
Rina,Tiwari
Sai,Mallik
Mahira,Dey
Sahil,Mal
Advika,Basumatary
Ahaan,Verma
Leia,Adhikari
Atharva,Ahuja
Amina,Bagdi
Yash,Bahadur
Anaisha,Bajpai
Naveen,Bajpayee
Amayra,Balakrishnan
Vedant,Banerjee
Mehar,Behl
Pranav,Bera
Tanvi,Bhoi
Siddharth,Bhosle
Meena,Chatterjee
Devansh,Choudhary
Ishika,Chowdhury
Farhan,Debbarma
Trisha,Dei
Shlok,Desai
Ishani,Deshmukh
Rivaan,Dhawan
Divya,Dube
Vikram,Gogoi
Mishika,Grover
Yuvraj,Haldar
Aarvi,Hegde
Abhiram,Hembram
Vamika,Iyer
Nikhil,Jhala
Shree,Joshi
Krishna,Kalita
Leena,Lohar
Aadi,Mahanta
Nikita,Mahapatra
Advait,Maity
Sona,Mali
Darsh,Mehta
Kayra,Menon
Keshav,Mohanty
Naina,Mukherjee
Ayaansh,Mukhopadhyay
Ziana,Murali
Nivaan,Nagpal
Ridhi,Nair
Arnav,Narayan
Rani,Nigam
Vyom,Panda
Lakshmi,Pande
Abhay,Pathak
Adhira,Pilli
Raghav,Pramanik
Sarita,Raghavan
Shreyansh,Rao
Esha,Rathav
Tejas,Sahni
Kashvi,Sahoo
Angad,Saikia
Megha,Saini
Akash,Sangma
Nisha,Saw
Anirudh,Sawant
Aishwarya,Sen
Madhav,Shankar
