Name,Surname
Sofia,Rossi
Francesco,Russo
Gianna,Ferrari
Leonardo,Esposito
Aria,Colombo
Luca,Bianchi
Bella,Romano
Giovanni,Ricci
Luna,Gallo
Mario,Dal
Sienna,Bruno
Salvatore,Conti
Arianna,De Luca
Massimo,Moretti
Gia,Mancini
Santino,Costa
Maria,Giordano
Romeo,Rizzo
Bianca,Lombardi
Enzo,Barbieri
Antonella,Greco
Luigi,Marino
Rosa,Fontana
Vito,Mariani
Lucia,Caruso
Marco,Galli
Giuliana,Ferrara
Luciano,Santoro
Carla,Rinaldi
Lorenzo,Longo
Giovanna,Villa
Giuseppe,Sala
Claudia,Leone
Giacomo,Martini
Chiara,Dalla
Roberto,D’Angelo
Martina,Bianco
Stefano,Martinelli
Silvia,Gatti
Angelo,Vitale
Vittoria,Serra
Filippo,Coppola
Carlotta,Gentile
Sergio,Cattaneo
Rosetta,Ferri
Carlo,Messina
Augusta,Monti
Bruno,Marchetti
Giorgia,Marini
Alfonso,Fabbri
Margherita,Ferraro
Rocco,Lombardo
Azzurra,Testa
Ernesto,de Santis
Patrizia,Grasso
Franco,Parisi
Fiorenza,Amato
Nino,de Angelis
Quinta,Pellegrini
Berto,Riva
Carlina,Grassi
Armani,Palumbo
Francesca,Conte
Gianluca,Morelli
Alessia,Brambilla
Niccolo,Sanna
Elisa,Farina
Andrea,Benedetti
Valentina,Pellegrino
Matteo,Valentini
Noemi,Rizzi
Gabriele,Franco
Federica,Caputo
Antonio,Carbone
Isabella,Fiore
Davide,de Rosa
Viola,Barone
Federico,D’Amico
Giulia,Mazza
Tommaso,Silvestri
Elena,Martino
Pietro,Bernardi
Emanuela,Rossetti
Riccardo,Palmieri
Valeria,Giuliani
Michele,Orlando
Paola,Piras
Simone,Locatelli
Stefania,Basile
Edoardo,Castelli
Gaia,Pagano
Nicola,Ruggiero
Eleonora,Sorrentino
Giulio,Pozzi
Teresa,Romeo
Christian,Bellini
Daniela,Montanari
Enrico,Fumagalli
Marina,Poli
Fabio,Rota
Marisa,Angelini
Domenico,Bassi
Roberta,Benvenuti
Vincenzo,Beretta
Simona,Bruni
Elia,Calabrese
Loretta,Carta
Diego,Castellano
Elisabetta,Catalano
Raffaele,Cavallo
Gabriella,Clemente
Alessio,Corti
Rita,Costantini
Daniele,Costanzo
Rosanna,D’Agostino
Umberto,D’Alessandro
Susanna,D’Ambrosio
Samuele,de Marco
Cinzia,de Simone
Emanuel,de Stefano
Gloria,di Stefano
Alessandro,Donati
Graziella,Donato
Carmine,Falco
Ambra,Falcone
Gennaro,Fazio
Marta,Ferrero
Giorgio,Ferro
Anita,Forte
Guido,Fusco
Giada,Garofalo
Marcello,Giorgi
Rachele,Graziano
Pio,Grimaldi
Angelica,Leonardi
Emilio,Magnani
Ilaria,Mancuso
Alfredo,Mantovani
Alessandra,Manzo
Pasquale,Marchi
Michela,Marinelli
Valentino,Mauro
Denise,Milani
Dario,Molinari
Marika,Monaco
Rodolfo,Napolitano
Letizia,Negri
Renato,Olivieri
Emilia,Palermo
Silvio,Pepe
Ariana,Perrone
Tito,Piazza
Liliana,Pinna
Ugo,Proietti
Amara,Randazzo
Zeno,Rosa
Andrea,Rosso
Elio,Ruggeri
Angelina,Santini
Flavio,Santucci
Gabriela,Sartori
Gerardo,Spinelli
Luciana,Toscano
Maximo,Valenti
Izabella,Ventura
Arturo,Vitali
Viviana,Volpe
Armando,Zanetti
Domitilla,Andretti
Leandro,Bosco
Eufemia,Campanella
Lucca,Cortese
Fabiana,Cuomo
Alonzo,Fantini
Maddalena,Filippi
Gianni,Gioia
Marcella,Graziani
Damiano,Grillo
Renata,Ippolito
Nicolo,Izzo
Serafina,Lanza
Nico,La Rocca
Violante,Leoni
Emiliano,Luongo
Zita,Maggi
Luka,Marconi
Brunella,Marotta
Mateo,Martelli
Fiamma,Mazzola
Allesandro,Moroni
Gina,Mosca
Valerio,Pace
Sabina,Porta
Claudio,Pucci
Tullia,Rocca
Alberto,Rocco
Zaira,Rosati
Cristian,Sabatino
Matilde,Sasso
Dante,Simonetti
Annabella,Sorrenti
Adriano,Stella
Aryanna,Tomasi
Alphonsus,Venturelli
Bambina,Vinci
Amedeo,Vitto
Bonita,Zago
Arnoldo,Ambrosio
Bruna,Bartolini
Benedetto,Bianchini
Capricia,Capuano
Bosco,Carboni
Carina,Carlucci
Brando,Casagrande
Carmela,Cataldo
Cecilio,Clerici
Celestina,de Marchi
Cielo,di Marco
Cielo,di Palma
Cipriano,Florio
Clarabella,Giuliano
Ciro,Granata
Clarice,Lorenzi
Clemente,Lorenzini
Concetta,Luciani
Corrado,Maggioni
Cristina,Marchese
Cosimo,Nicoletti
Delfina,Oliva
Damone,Pacini
Domenica,Paoletti
Domiziano,Sabatini
Donna,Salvadori
Donatello,Sanfilippo
Eleanora,Serafini
Donte,Spina
Eloisa,Tagliabue
Duran,Venturini
Emiliana,Veronesi
Enzio,Vianello
Fia,Angeli
Eugenio,Bellucci
Filomena,Bucci
Falco,Cappelletti
Fiorella,Corsini
Fausto,D’Amore
Gianni,de Lucia
Fiorenzo,di Francesco
Giulietta,di Matteo
Gaetano,Federici
Gracia,Felici
Galileo,Fortunato
Idalia,Gabrielli
Gavino,Gagliardi
Imelda,Gentili
Geronimo,Giacomelli
Italia,Giovannini
Gianna,La Rosa
Lelia,Liguori
Giuliano,Marchesi
Leonora,Marin
Gregorio,Mariotti
Lilla,Marra
Heriberto,Masiero
Lorenza,Micheli
Isacco,Morini
Luca,Natali
Isaia,Palma
Lucca,Paolini
Italo,Paris
Mariella,Pesce
Jacopo,Pizzi
Mattea,Renzi
Lazaro,Repetto
Micaela,Santi
Leone,Scotti
Milan,Verde
Leonello,Vigano
Mirabella,Agostini
Liberato,Baroni
Oriana,Bartoli
Manfredo,Belli
Palermo,Bossi
Moreno,Capone
Perla,Cipriani
Nero,Corradi
Perlita,Evangelista
Piero,Franceschini
Phebe,Franchini
Primo,Galbiati
Pippa,Giordani
Quintino,Girardi
Raffaella,Grande
Remo,Guerra
Ravenna,Guerrini
Ricco,Guglielmi
Rina,Guida
Roma,Manfredi
Rome,Manzoni
Rome,Masi
Rosario,Morabito
Rosario,Murgia
Rosina,Raimondi
Sandro,Ratti
Sarita,Riccio
Sante,Rubino
Sicily,Sarti
Santo,Semeraro
Simone,Siciliano
Savino,Spada
Tranquilla,Speranza
Silvano,Vassallo
Umberta,Zito
Siro,Amoroso
Venezia,Bandini
Thadeo,Belloni
Venice,Bertoni
Tiziano,Bevilacqua
Verona,Bonetti
Toma,Boscolo
Via,Brunetti
Tullio,Cardinali
Vincenza,de Martino
Venice,Federico
Violetta,Gambino
Vittorio,Gandolfi
Abriana,Gasparini
Abramo,Ghezzi
Agata,Giunta
Agostino,Grandi
Aida,Grosso
Amato,Lentini
Amadea,Longhi
Ambrosi,Magni
Amaranta,Magri
Anselmo,Mazzoleni
Analina,Mazzoni
Augusto,Milano
Armina,Molteni
Basilio,Morello
Aryana,Puglisi
Benito,Redaelli
Bambi,Romagnoli
Benvolio,Sessa
Beretta,Stefanelli
Brio,Zanotti
Bettina,Arrigoni
Calogero,Barbero
Capri,Bettini
Capri,Carnevale
Contessa,Castellani
Caruso,Catania
Dominica,Cavaliere
Cassio,Costantino
Donatella,D’Andrea
Costantino,di Pasquale
Drusilla,Elia
Cristiano,Fanelli
Edda,Fedele
Demetrio,Festa
Elvera,Filippini
Efisio,Fioravanti
Felice,Fiori
Elmo,Giannini
Fiammetta,Marelli
Ettore,Mazzei
Flavia,Merlo
Ezio,Natale
Flora,Piccolo
Fabiano,Pieri
Floria,Rossetto
Faro,Tarantino
Galilea,Vaccaro
Fiero,Viola
Genevra,Alessi
Fio,Bertini
Genoveva,Borrelli
Fiorello,Carrara
Ghita,Casini
Giosue,Damiani
Giordana,de Vita
Giotto,D’Errico
Graciela,di Bella
Iago,di Carlo
Grazia,di Giovanni
Ivo,di Girolamo
Honora,Genovese
Leon,Lazzarini
Illaria,Marrone
Lino,Massaro
Isotta,Mattioli
Lucio,Mora
Lara,Pasquini
Ludovic,Romani
Lauretta,Salvati
Mariano,Terranova
Leila,Vecchi
Marino,Zaccaria
Leo,Aiello
Mattia,Belotti
Leone,Bertoli
Mattias,Bresciani
Livia,Corsi
Monaco,Croce
Luciella,Dalle
Narciso,Dessi
Lucrezia,D’Onofrio
Natale,Fiorentino
Magenta,Floris
Ottavio,Frigerio
Marzia,Lamberti
Prospero,Lazzari
Nicola,Lodi
Romano,Macchi
Ornella,Macri
Romolo,Maffei
Ottavia,Montagna
Ruperto,Morra
Piera,Pecoraro
Silva,Peluso
Pietra,Petrucci
Teodoro,Piccinini
Priscilla,Sacchi
Ubaldo,Alfano
Raphaela,Baldi
Urbano,Barbato
Roma,Battista
Valerius,Berardi
Rosana,Berti
Vicenzo,Borghi
Serena,Bosio
Virgilio,Cappelli
Siena,Carletti
Vitaliano,Casella
Teodora,Castaldo
Volta,Cavalli
Vivia,Cirillo
Walter,Colonna
Zeta,Colucci
Xander,Corrado
Adelina,del Vecchio
Achille,di Benedetto
Adriana,di Giacomo
Alvaro,Durante
Alberta,Giudici
Americo,Landi
Albina,Leo
Antonino,Loi
Alina,Lorusso
Arnaldo,Manna
Amalia,Mari
Arnulfo,Moretto
Analia,Nardi
Arsenio,Palladino
Annamaria,Pasquali
Bernardo,Pugliese
Annetta,Sacco
Calimero,Tosi
Antonina,Antonelli
Camillo,Bertelli
Barbara,Biondi
Carmelo,Campagna
Benedetta,Campana
Celestino,Cavallaro
Brigida,Cimino
Cesare,Colella
Cristiana,Cosentino
Cornelio,Cozzolino
Daria,Crespi
Cosmo,Fabris
Debora,Fossati
Danilo,Franchi
Diletta,Gennari
Delfino,Guarino
Dina,Lupo
Domizio,Manenti
Dora,Massari
Donato,Mattei
Dorotea,Mauri
Edgardo,Mercuri
Elvira,Miceli
Eligio,Morandi
Enrica,Mura
Emanuele,Musso
Ester,Napoli
Ennio,Panico
Etta,Pisani
Ermenegildo,Rapisarda
Eugenia,Righi
Eufrasio,Rossini
Evelina,Santangelo
Faustino,Tedesco
Fabia,Tonelli
Fernando,Valle
Fernanda,Zambon
Filiberto,Albanese
Filippa,Bacci
Fortunado,Balducci
Ginevra,Bergamaschi
Fredo,Bergamini
Gioia,Botta
Gaspare,Bove
Giuseppina,Capasso
Gianfranco,Carraro
Griselda,Cocco
Gianmarco,Corradini
Hortensia,Cossu
Gilberto,Crippa
Ida,D’Elia
