Name,Surname
Ingrid,Hansen
Magnus,Johansen
Astrid,Olsen
Erik,Larsen
Emilie,Andersen
Björn,Pedersen
Anna,Nilsen
Emil,Kristiansen
Nora,Jensen
Aksel,Karlsen
Emma,Johnsen
Oskar,Pettersen
Sofie,Eriksen
Elias,Berg
Ida,Haugen
Jonas,Hagen
Freya,Johannessen
Olav,Andreassen
Sara,Jacobsen
Sigurd,Dahl
Linnea,Halvorsen
Mathias,Lund
Mia,Henriksen
Henrik,Jørgensen
Sigrid,Jakobsen
Anders,Gundersen
Thea,Moen
Filip,Sørensen
Karoline,Iversen
Jakob,Svendsen
Hedda,Strand
Kasper,Solberg
Vilde,Martinsen
Eirik,Paulsen
Solveig,Knutsen
Einar,Eide
Tiril,Bakken
Tor,Kristoffersen
Maria,Mathisen
Lars,Lie
Amalie,Rasmussen
Knut,Bakke
Lotte,Amundsen
Hans,Kristensen
Ella,Andresen
Isak,Lunde
Selma,Berge
Fredrik,Moe
Maja,Holm
Kristian,Fredriksen
Anne,Solheim
Karl,Knudsen
Sofia,Nielsen
Thomas,Christensen
Aurora,Lien
Andreas,Hauge
Camilla,Nygård
Jan,Evensen
Marianne,Aas
Bjørn,Hanssen
Silje,Myhre
Kristoffer,Simonsen
Kristin,Haugland
Morten,Thomassen
Katrine,Berntsen
Oliver,Sivertsen
Hilde,Sæther
Rune,Danielsen
Julie,Arnesen
Martin,Haug
Kristine,Sandvik
Markus,Thorsen
Nina,Ellingsen
Lucas,Antonsen
Marte,Næss
Ole,Gulbrandsen
Linda,Ruud
Stian,Rønning
Monica,Edvardsen
Geir,Vik
Heidi,Samuelsen
Alexander,Isaksen
Anita,Birkeland
Per,Aasen
Bente,Jenssen
Marius,Tangen
Stine,Mikkelsen
Terje,Eliassen
Linn,Strøm
Noah,ødegård
Hege,Myklebust
Sander,Helland
Olivia,Christiansen
Leif,Aune
Tone,Bøe
Trond,Brekke
Anette,Abrahamsen
Espen,Madsen
Malin,Tveit
Frode,Bjerke
Marit,Aaberg
Joakim,Aase
Marie,Alfson
Daniel,Becken
Elisabeth,Berger
Svein,Bjørnstad
Leah,Bø
Tobias,Borge
